"#","slug","filename","title","category","subject","status","notes"
"1","why-art-forgeries-are-so-hard-to-catch","why-art-forgeries-are-so-hard-to-catch.jpg","Why Art Forgeries Are So Hard to Catch","Art","A conservator in a quiet museum laboratory examining an old oil painting under raking lamplight, magnifier in hand, cracked varnish surface catching the light.","",""
"2","why-extreme-heat-is-deadlier-than-extreme-cold","why-extreme-heat-is-deadlier-than-extreme-cold.jpg","Why Extreme Heat Kills More People Than Extreme Cold","Health","A sun-bleached city street at midday in a heatwave, air shimmering with visible heat haze above the asphalt, a lone figure crossing in the far distance.","",""
"3","why-eye-contact-norms-vary-by-culture","why-eye-contact-norms-vary-by-culture.jpg","Why Eye Contact Norms Vary by Culture","People and Society","Two people in conversation across a small café table, one holding a steady gaze and the other glancing courteously downward, warm window light.","",""
"4","why-fairy-tales-were-originally-written-for-adults","why-fairy-tales-were-originally-written-for-adults.jpg","Why Fairy Tales Were Originally Written for Adults","Stories","A candlelit seventeenth-century salon interior, a leather-bound book open on a side table beside a half-finished glass of wine, chairs drawn into a circle.","",""
"5","why-feral-children-cases-shaped-nature-vs-nurture-debates","why-feral-children-cases-shaped-nature-vs-nurture-debates.jpg","Why Feral Children Cases Shaped Nature-Nurture Debates","People and Society","An empty forest clearing at dusk with a small worn child's shoe resting in the leaf litter, soft mist between the trunks.","",""
"6","why-fingerprints-never-change-throughout-life","why-fingerprints-never-change-throughout-life.jpg","Why Fingerprints Never Change Throughout Life","Science","Extreme macro of a human fingertip pressed against clean glass, the ridge pattern lit from the side, tiny whorls in crisp detail.","",""
"7","why-first-impressions-are-so-hard-to-change","why-first-impressions-are-so-hard-to-change.jpg","Why First Impressions Are So Hard to Change","People and Society","Two people meeting and shaking hands in a bright office lobby doorway, the moment of first contact, natural daylight from behind.","",""
"8","why-flamingos-actually-stand-on-one-leg","why-flamingos-actually-stand-on-one-leg.jpg","Why Flamingos Actually Stand on One Leg","Science","A single flamingo standing on one leg in shallow still water at dawn, its reflection perfectly mirrored, pale pink against soft grey light.","",""
"9","why-flight-prices-seem-to-rise-after-you-search-twice","why-flight-prices-seem-to-rise-after-you-search-twice.jpg","Why Flight Prices Seem to Rise the Moment You Search Twice","Business and Economy","An airport departures hall at blue hour seen from a distance, travellers as soft silhouettes, a wall of blank glowing display panels with no legible content.","",""
"10","why-food-additives-get-banned-in-some-countries-and-not-others","why-food-additives-get-banned-in-some-countries-and-not-others.jpg","Why Food Additives Get Banned in Some Countries and Not Others","Nutrition","A laboratory bench with unlabelled glass vials of coloured food powders arranged in a row beside a pipette and a white ceramic dish.","",""
"11","why-forest-bathing-became-a-wellness-trend","why-forest-bathing-became-a-wellness-trend.jpg","Why Forest Bathing Became a Wellness Trend","Self Care","Shafts of morning light falling through a dense cedar forest onto a moss-covered path, a person standing still and small among the trunks.","",""
"12","why-friday-holds-special-significance-in-islamic-tradition","why-friday-holds-special-significance-in-islamic-tradition.jpg","Why Friday Holds Special Significance in Islam","Islamic Knowledge & Culture","The airy interior of a mosque prayer hall before congregational prayer, sunlight falling across empty carpet rows and a row of arched columns.","",""
"13","why-game-soundtracks-are-composed-before-the-game-is-finished","why-game-soundtracks-are-composed-before-the-game-is-finished.jpg","Why Game Soundtracks Are Composed Before the Game Is Finished","Entertainment and Games","A composer's home studio at night, hands resting on a MIDI keyboard, studio monitors and cables lit by a single warm desk lamp.","",""
