"#","filename","title","prompt","status","notes"
"1","why-art-forgeries-are-so-hard-to-catch.jpg","Why Art Forgeries Are So Hard to Catch","A photorealistic editorial documentary photograph, 16:9 landscape. A conservator in a quiet museum laboratory examining an old oil painting under raking lamplight, magnifier in hand, cracked varnish surface catching the light. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Every surface in the frame is blank and unmarked, and the photograph carries no lettering, signage, logo or watermark.","",""
"2","why-extreme-heat-is-deadlier-than-extreme-cold.jpg","Why Extreme Heat Kills More People Than Extreme Cold","A photorealistic editorial documentary photograph, 16:9 landscape. A sun-bleached city street at midday in a heatwave, air shimmering with visible heat haze above the asphalt, a lone figure crossing in the far distance. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Every surface in the frame is blank and unmarked, and the photograph carries no lettering, signage, logo or watermark.","",""
"3","why-eye-contact-norms-vary-by-culture.jpg","Why Eye Contact Norms Vary by Culture","A photorealistic editorial documentary photograph, 16:9 landscape. Two people in conversation across a small café table, one holding a steady gaze and the other glancing courteously downward, warm window light. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Every surface in the frame is blank and unmarked, and the photograph carries no lettering, signage, logo or watermark.","",""
"4","why-fairy-tales-were-originally-written-for-adults.jpg","Why Fairy Tales Were Originally Written for Adults","A photorealistic editorial documentary photograph, 16:9 landscape. A candlelit seventeenth-century salon interior, a leather-bound book open on a side table beside a half-finished glass of wine, chairs drawn into a circle. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Every surface in the frame is blank and unmarked, and the photograph carries no lettering, signage, logo or watermark.","",""
"5","why-feral-children-cases-shaped-nature-vs-nurture-debates.jpg","Why Feral Children Cases Shaped Nature-Nurture Debates","A photorealistic editorial documentary photograph, 16:9 landscape. An empty forest clearing at dusk with a small worn child's shoe resting in the leaf litter, soft mist between the trunks. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Every surface in the frame is blank and unmarked, and the photograph carries no lettering, signage, logo or watermark.","",""
"6","why-fingerprints-never-change-throughout-life.jpg","Why Fingerprints Never Change Throughout Life","A photorealistic editorial documentary photograph, 16:9 landscape. Extreme macro of a human fingertip pressed against clean glass, the ridge pattern lit from the side, tiny whorls in crisp detail. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Every surface in the frame is blank and unmarked, and the photograph carries no lettering, signage, logo or watermark.","",""
"7","why-first-impressions-are-so-hard-to-change.jpg","Why First Impressions Are So Hard to Change","A photorealistic editorial documentary photograph, 16:9 landscape. Two people meeting and shaking hands in a bright office lobby doorway, the moment of first contact, natural daylight from behind. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Every surface in the frame is blank and unmarked, and the photograph carries no lettering, signage, logo or watermark.","",""
"8","why-flamingos-actually-stand-on-one-leg.jpg","Why Flamingos Actually Stand on One Leg","A photorealistic editorial documentary photograph, 16:9 landscape. A single flamingo standing on one leg in shallow still water at dawn, its reflection perfectly mirrored, pale pink against soft grey light. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Every surface in the frame is blank and unmarked, and the photograph carries no lettering, signage, logo or watermark.","",""
"9","why-flight-prices-seem-to-rise-after-you-search-twice.jpg","Why Flight Prices Seem to Rise the Moment You Search Twice","A photorealistic editorial documentary photograph, 16:9 landscape. An airport departures hall at blue hour seen from a distance, travellers as soft silhouettes, a wall of blank glowing display panels with no legible content. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Every surface in the frame is blank and unmarked, and the photograph carries no lettering, signage, logo or watermark.","",""
"10","why-food-additives-get-banned-in-some-countries-and-not-others.jpg","Why Food Additives Get Banned in Some Countries and Not Others","A photorealistic editorial documentary photograph, 16:9 landscape. A laboratory bench with unlabelled glass vials of coloured food powders arranged in a row beside a pipette and a white ceramic dish. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Every surface in the frame is blank and unmarked, and the photograph carries no lettering, signage, logo or watermark.","",""
"11","why-forest-bathing-became-a-wellness-trend.jpg","Why Forest Bathing Became a Wellness Trend","A photorealistic editorial documentary photograph, 16:9 landscape. Shafts of morning light falling through a dense cedar forest onto a moss-covered path, a person standing still and small among the trunks. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Every surface in the frame is blank and unmarked, and the photograph carries no lettering, signage, logo or watermark.","",""
"12","why-friday-holds-special-significance-in-islamic-tradition.jpg","Why Friday Holds Special Significance in Islam","A photorealistic editorial documentary photograph, 16:9 landscape. The airy interior of a mosque prayer hall before congregational prayer, sunlight falling across empty carpet rows and a row of arched columns. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Every surface in the frame is blank and unmarked, and the photograph carries no lettering, signage, logo or watermark.","",""
"13","why-game-soundtracks-are-composed-before-the-game-is-finished.jpg","Why Game Soundtracks Are Composed Before the Game Is Finished","A photorealistic editorial documentary photograph, 16:9 landscape. A composer's home studio at night, hands resting on a MIDI keyboard, studio monitors and cables lit by a single warm desk lamp. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Every surface in the frame is blank and unmarked, and the photograph carries no lettering, signage, logo or watermark.","",""
"14","why-gifted-and-talented-programs-are-controversial.jpg","Why Gifted and Talented Programs Are Controversial","A photorealistic editorial documentary photograph, 16:9 landscape. An empty classroom with one desk pulled apart from the neat rows, late afternoon light across the floor. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Every surface in the frame is blank and unmarked, and the photograph carries no lettering, signage, logo or watermark.","",""
"15","why-gossip-exists-in-every-human-culture.jpg","Why Gossip Exists in Every Human Culture","A photorealistic editorial documentary photograph, 16:9 landscape. Three women leaning close together over tea in a sunlit courtyard, mid-conversation, hands animated, a fourth chair empty. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Every surface in the frame is blank and unmarked, and the photograph carries no lettering, signage, logo or watermark.","",""
"16","why-grade-inflation-happens-at-universities.jpg","Why Grade Inflation Happens at Universities","A photorealistic editorial documentary photograph, 16:9 landscape. A stack of marked essay papers on a tutor's desk beside a red pen and cold coffee, window light from the left. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Every surface in the frame is blank and unmarked, and the photograph carries no lettering, signage, logo or watermark.","",""
"17","why-grandparents-play-such-different-roles-across-cultures.jpg","Why Grandparents Play Such Different Roles Across Cultures","A photorealistic editorial documentary photograph, 16:9 landscape. An older woman and a small child cooking together at a kitchen counter in a modest home, flour on their hands, warm afternoon light. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Every surface in the frame is blank and unmarked, and the photograph carries no lettering, signage, logo or watermark.","",""
"18","why-gulf-humidity-feels-worse-than-the-temperature-suggests.jpg","Why Gulf Humidity Feels Worse Than the Thermometer Says","A photorealistic editorial documentary photograph, 16:9 landscape. A Gulf city skyline at dawn seen through heavy humid haze, condensation beading on a foreground glass balcony rail. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Every surface in the frame is blank and unmarked, and the photograph carries no lettering, signage, logo or watermark.","",""
"19","why-habit-stacking-actually-works.jpg","Why Habit Stacking Actually Works","A photorealistic editorial documentary photograph, 16:9 landscape. A simple morning kitchen counter with a kettle, a mug, running shoes and a notebook lined up in a deliberate row, soft daylight. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Every surface in the frame is blank and unmarked, and the photograph carries no lettering, signage, logo or watermark.","",""
"20","why-handwriting-practice-still-matters-in-a-digital-age.jpg","Why Handwriting Practice Still Matters in a Digital Age","A photorealistic editorial documentary photograph, 16:9 landscape. A child's hand forming letters with a pencil on ruled paper, viewed close and from above, graphite smudge on the page edge. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Keep any written marks soft and illegible, and let the photograph carry no readable lettering, signage, logo or watermark.","",""
"21","why-homework-amounts-vary-so-much-between-countries.jpg","Why Homework Amounts Vary So Much Between Countries","A photorealistic editorial documentary photograph, 16:9 landscape. A schoolbag spilling books and papers onto a bedroom floor in the evening, a small desk lamp casting a pool of light. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Every surface in the frame is blank and unmarked, and the photograph carries no lettering, signage, logo or watermark.","",""
"22","why-in-law-relationships-are-culturally-scripted-so-differently.jpg","Why In-Law Relationships Are Culturally Scripted So Differently","A photorealistic editorial documentary photograph, 16:9 landscape. A long family dinner table after a meal, mismatched chairs slightly askew, plates cleared, warm low lamplight. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Every surface in the frame is blank and unmarked, and the photograph carries no lettering, signage, logo or watermark.","",""
"23","why-is-dubai-rich.jpg","Why Is Dubai So Rich?","A photorealistic editorial documentary photograph, 16:9 landscape. An aerial view of Dubai at golden hour, dense towers meeting desert on one side and the Gulf on the other, cranes on the skyline. Shoot it in natural available light with honest muted colour, candid and unstaged, with real texture and a calm, uncluttered composition. Every surface in the frame is blank and unmarked, and the photograph carries no lettering, signage, logo or watermark.","",""
