"#","slug","filename","title","category","prompt","status","notes"
"1","why-art-forgeries-are-so-hard-to-catch","why-art-forgeries-are-so-hard-to-catch.jpg","Why Art Forgeries Are So Hard to Catch","Art","Editorial documentary photograph, photorealistic, shot on a full-frame camera with a fast prime lens. Natural available light, honest muted colour grade, candid and unstaged, real textures and imperfections. Composed as a wide 16:9 editorial hero with calm negative space. Subject: A conservator in a quiet museum laboratory examining an old oil painting under raking lamplight, magnifier in hand, cracked varnish surface catching the light. Absolutely no text, letters, words, numbers, captions, labels, signage, logos, brand marks, club crests, flags with writing, watermarks or user-interface chrome anywhere in the frame. No collage, no split screens, no infographic overlays, no illustration or 3D-render look, no glossy stock-photo gloss, no recognisable real public figures.","",""
"2","why-extreme-heat-is-deadlier-than-extreme-cold","why-extreme-heat-is-deadlier-than-extreme-cold.jpg","Why Extreme Heat Kills More People Than Extreme Cold","Health","Editorial documentary photograph, photorealistic, shot on a full-frame camera with a fast prime lens. Natural available light, honest muted colour grade, candid and unstaged, real textures and imperfections. Composed as a wide 16:9 editorial hero with calm negative space. Subject: A sun-bleached city street at midday in a heatwave, air shimmering with visible heat haze above the asphalt, a lone figure crossing in the far distance. Absolutely no text, letters, words, numbers, captions, labels, signage, logos, brand marks, club crests, flags with writing, watermarks or user-interface chrome anywhere in the frame. No collage, no split screens, no infographic overlays, no illustration or 3D-render look, no glossy stock-photo gloss, no recognisable real public figures.","",""
"3","why-eye-contact-norms-vary-by-culture","why-eye-contact-norms-vary-by-culture.jpg","Why Eye Contact Norms Vary by Culture","People and Society","Editorial documentary photograph, photorealistic, shot on a full-frame camera with a fast prime lens. Natural available light, honest muted colour grade, candid and unstaged, real textures and imperfections. Composed as a wide 16:9 editorial hero with calm negative space. Subject: Two people in conversation across a small café table, one holding a steady gaze and the other glancing courteously downward, warm window light. Absolutely no text, letters, words, numbers, captions, labels, signage, logos, brand marks, club crests, flags with writing, watermarks or user-interface chrome anywhere in the frame. No collage, no split screens, no infographic overlays, no illustration or 3D-render look, no glossy stock-photo gloss, no recognisable real public figures.","",""
"4","why-fairy-tales-were-originally-written-for-adults","why-fairy-tales-were-originally-written-for-adults.jpg","Why Fairy Tales Were Originally Written for Adults","Stories","Editorial documentary photograph, photorealistic, shot on a full-frame camera with a fast prime lens. Natural available light, honest muted colour grade, candid and unstaged, real textures and imperfections. Composed as a wide 16:9 editorial hero with calm negative space. Subject: A candlelit seventeenth-century salon interior, a leather-bound book open on a side table beside a half-finished glass of wine, chairs drawn into a circle. Absolutely no text, letters, words, numbers, captions, labels, signage, logos, brand marks, club crests, flags with writing, watermarks or user-interface chrome anywhere in the frame. No collage, no split screens, no infographic overlays, no illustration or 3D-render look, no glossy stock-photo gloss, no recognisable real public figures.","",""
"5","why-feral-children-cases-shaped-nature-vs-nurture-debates","why-feral-children-cases-shaped-nature-vs-nurture-debates.jpg","Why Feral Children Cases Shaped Nature-Nurture Debates","People and Society","Editorial documentary photograph, photorealistic, shot on a full-frame camera with a fast prime lens. Natural available light, honest muted colour grade, candid and unstaged, real textures and imperfections. Composed as a wide 16:9 editorial hero with calm negative space. Subject: An empty forest clearing at dusk with a small worn child's shoe resting in the leaf litter, soft mist between the trunks. Absolutely no text, letters, words, numbers, captions, labels, signage, logos, brand marks, club crests, flags with writing, watermarks or user-interface chrome anywhere in the frame. No collage, no split screens, no infographic overlays, no illustration or 3D-render look, no glossy stock-photo gloss, no recognisable real public figures.","",""
"6","why-fingerprints-never-change-throughout-life","why-fingerprints-never-change-throughout-life.jpg","Why Fingerprints Never Change Throughout Life","Science","Editorial documentary photograph, photorealistic, shot on a full-frame camera with a fast prime lens. Natural available light, honest muted colour grade, candid and unstaged, real textures and imperfections. Composed as a wide 16:9 editorial hero with calm negative space. Subject: Extreme macro of a human fingertip pressed against clean glass, the ridge pattern lit from the side, tiny whorls in crisp detail. Absolutely no text, letters, words, numbers, captions, labels, signage, logos, brand marks, club crests, flags with writing, watermarks or user-interface chrome anywhere in the frame. No collage, no split screens, no infographic overlays, no illustration or 3D-render look, no glossy stock-photo gloss, no recognisable real public figures.","",""
"7","why-first-impressions-are-so-hard-to-change","why-first-impressions-are-so-hard-to-change.jpg","Why First Impressions Are So Hard to Change","People and Society","Editorial documentary photograph, photorealistic, shot on a full-frame camera with a fast prime lens. Natural available light, honest muted colour grade, candid and unstaged, real textures and imperfections. Composed as a wide 16:9 editorial hero with calm negative space. Subject: Two people meeting and shaking hands in a bright office lobby doorway, the moment of first contact, natural daylight from behind. Absolutely no text, letters, words, numbers, captions, labels, signage, logos, brand marks, club crests, flags with writing, watermarks or user-interface chrome anywhere in the frame. No collage, no split screens, no infographic overlays, no illustration or 3D-render look, no glossy stock-photo gloss, no recognisable real public figures.","",""
"8","why-flamingos-actually-stand-on-one-leg","why-flamingos-actually-stand-on-one-leg.jpg","Why Flamingos Actually Stand on One Leg","Science","Editorial documentary photograph, photorealistic, shot on a full-frame camera with a fast prime lens. Natural available light, honest muted colour grade, candid and unstaged, real textures and imperfections. Composed as a wide 16:9 editorial hero with calm negative space. Subject: A single flamingo standing on one leg in shallow still water at dawn, its reflection perfectly mirrored, pale pink against soft grey light. Absolutely no text, letters, words, numbers, captions, labels, signage, logos, brand marks, club crests, flags with writing, watermarks or user-interface chrome anywhere in the frame. No collage, no split screens, no infographic overlays, no illustration or 3D-render look, no glossy stock-photo gloss, no recognisable real public figures.","",""
"9","why-flight-prices-seem-to-rise-after-you-search-twice","why-flight-prices-seem-to-rise-after-you-search-twice.jpg","Why Flight Prices Seem to Rise the Moment You Search Twice","Business and Economy","Editorial documentary photograph, photorealistic, shot on a full-frame camera with a fast prime lens. Natural available light, honest muted colour grade, candid and unstaged, real textures and imperfections. Composed as a wide 16:9 editorial hero with calm negative space. Subject: An airport departures hall at blue hour seen from a distance, travellers as soft silhouettes, a wall of blank glowing display panels with no legible content. Absolutely no text, letters, words, numbers, captions, labels, signage, logos, brand marks, club crests, flags with writing, watermarks or user-interface chrome anywhere in the frame. No collage, no split screens, no infographic overlays, no illustration or 3D-render look, no glossy stock-photo gloss, no recognisable real public figures.","",""
"10","why-food-additives-get-banned-in-some-countries-and-not-others","why-food-additives-get-banned-in-some-countries-and-not-others.jpg","Why Food Additives Get Banned in Some Countries and Not Others","Nutrition","Editorial documentary photograph, photorealistic, shot on a full-frame camera with a fast prime lens. Natural available light, honest muted colour grade, candid and unstaged, real textures and imperfections. Composed as a wide 16:9 editorial hero with calm negative space. Subject: A laboratory bench with unlabelled glass vials of coloured food powders arranged in a row beside a pipette and a white ceramic dish. Absolutely no text, letters, words, numbers, captions, labels, signage, logos, brand marks, club crests, flags with writing, watermarks or user-interface chrome anywhere in the frame. No collage, no split screens, no infographic overlays, no illustration or 3D-render look, no glossy stock-photo gloss, no recognisable real public figures.","",""
